Year,Month,Opening Balance,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Closing Balance
2020,Jan,500000.0,100000.0,-20000.0,-15000.0,65000.0,565000.0
2020,Feb,565000.0,105000.0,-15000.0,-15000.0,75000.0,640000.0
2020,Mar,640000.0,110000.0,-50000.0,-15000.0,45000.0,685000.0
2020,Apr,685000.0,115000.0,-20000.0,-15000.0,80000.0,765000.0
2020,May,765000.0,120000.0,-15000.0,-15000.0,90000.0,855000.0
2020,Jun,855000.0,125000.0,-60000.0,-15000.0,50000.0,905000.0
2020,Jul,905000.0,130000.0,-20000.0,-15000.0,95000.0,1000000.0
2020,Aug,1000000.0,135000.0,-15000.0,-15000.0,105000.0,1105000.0
2020,Sep,1105000.0,140000.0,-70000.0,-15000.0,55000.0,1160000.0
2020,Oct,1160000.0,145000.0,-20000.0,-15000.0,110000.0,1270000.0
2020,Nov,1270000.0,150000.0,-15000.0,-15000.0,120000.0,1390000.0
2020,Dec,1390000.0,160000.0,-80000.0,-15000.0,65000.0,1455000.0
2021,Jan,1455000.0,165000.0,-20000.0,-20000.0,125000.0,1580000.0
2021,Feb,1580000.0,170000.0,-15000.0,-20000.0,135000.0,1715000.0
2021,Mar,1715000.0,180000.0,-90000.0,-20000.0,70000.0,1785000.0
2021,Apr,1785000.0,185000.0,-20000.0,-20000.0,145000.0,1930000.0
2021,May,1930000.0,190000.0,-15000.0,-20000.0,155000.0,2085000.0
2021,Jun,2085000.0,200000.0,-100000.0,-20000.0,80000.0,2165000.0
2021,Jul,2165000.0,205000.0,-20000.0,-20000.0,165000.0,2330000.0
2021,Aug,2330000.0,210000.0,-15000.0,-20000.0,175000.0,2505000.0
2021,Sep,2505000.0,220000.0,-110000.0,-20000.0,90000.0,2595000.0
2021,Oct,2595000.0,230000.0,-20000.0,-20000.0,190000.0,2785000.0
2021,Nov,2785000.0,240000.0,-15000.0,-20000.0,205000.0,2990000.0
2021,Dec,2990000.0,250000.0,-120000.0,-20000.0,110000.0,3100000.0
2022,Jan,3100000.0,260000.0,-20000.0,-25000.0,215000.0,3315000.0
2022,Feb,3315000.0,270000.0,-15000.0,-25000.0,230000.0,3545000.0
2022,Mar,3545000.0,280000.0,-130000.0,-25000.0,125000.0,3670000.0
2022,Apr,3670000.0,290000.0,-20000.0,-25000.0,245000.0,3915000.0
